university,program,faculty,url,degree,language,city,latitude,longitude
UVT,Modă - design vestimentar,Moda Design Vestimentar,https://admitere.uvt.ro/program/moda-design-vestimentar/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Arte plastice (Grafică),Arte Plastice Grafica,https://admitere.uvt.ro/program/arte-plastice-grafica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Filosofie,Filosofie,https://admitere.uvt.ro/program/filosofie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Limba și literatura engleză – Limba și literatura modernă (rusă/sârbă/japoneză),Limba Si Literatura Engleza Limba Si Literatura Moderna Rusa Sarba Japoneza,https://admitere.uvt.ro/program/limba-si-literatura-engleza-limba-si-literatura-moderna-rusa-sarba-japoneza/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Management (în limba franceză),Management In Limba Franceza,https://admitere.uvt.ro/program/management-in-limba-franceza/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Informatică (învățământ la distanță),Informatica Invatamant La Distanta,https://admitere.uvt.ro/program/informatica-invatamant-la-distanta/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Informatică,Informatica,https://admitere.uvt.ro/program/informatica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Fizică - Chimie (Dublă specializare - didactic),Fizica Chimie Dubla Specializare Didactic,https://admitere.uvt.ro/program/fizica-chimie-dubla-specializare-didactic/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Arte plastice (Pictură),Arte Plastice Pictura,https://admitere.uvt.ro/program/arte-plastice-pictura/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Contabilitate și informatică de gestiune,Contabilitate Si Informatica De Gestiune,https://admitere.uvt.ro/program/contabilitate-si-informatica-de-gestiune/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Biologie,Biologie,https://admitere.uvt.ro/program/biologie/,Licenta,Română,Timisoara,45.7477,21.2312
